location_type,parent_station,stop_code,stop_id,stop_lat,stop_lon,stop_name,wheelchair_boarding,zone_id
0,,293A06_TM,53385,4.690285768484577,-74.1474661343414,Br. El Refugio - La Zelfita,1,
0,,294A06_TM,53386,4.689203757491319,-74.14660776169316,Parque Zonal Atahualpa,1,
0,,297A06_TM,53387,4.686991396256893,-74.1434466682073,Br. Versalles Fontibón,1,
0,,300A06_TM,53388,4.685739147199877,-74.14536006021241,Urb. El Chital,1,
0,,301A06_TM,53389,4.686203240305824,-74.14801534689946,Br. Atahualpa,1,
0,,302A06_TM,53390,4.685855300382683,-74.147181548311,Br. Atahualpa,1,
0,,303A06_TM,53391,4.681446120402548,-74.15044511239361,Br. Villa Carmenza,1,
0,,308A06_TM,53392,4.677486529280406,-74.1475481757619,Br. Boston,1,
0,,311A06_TM,53393,4.675636139145067,-74.14607945475457,Registraduría Auxiliar Fontibón,1,
0,,316A06_TM,53394,4.685397171410727,-74.14196385373855,Br. Versalles Fontibón,1,
0,,317A06_TM,53395,4.683524442007437,-74.14030448312852,Br. La Cabaña Fontibón,1,
0,,320A06_TM,53396,4.681511121153094,-74.13854576070325,Br. La Cabaña Fontibón,1,
0,,322A06_TM,53397,4.68004710202685,-74.13720472391256,Br. La Cabaña Fontibón,1,
0,,325A06_TM,53398,4.681261266016999,-74.13716951999301,Br. La Cabaña Fontibón,1,
0,,326A06_TM,53399,4.683436974615527,-74.13902399947992,IED La Cabaña,1,
0,,327A06_TM,53400,4.685790604266475,-74.1411122850129,Br. Los Cámbulos,1,
0,,328A06_TM,53401,4.687269088609081,-74.14259748249735,Br. Versalles Fontibón,1,
0,,071A12_TM,53402,4.556887238732925,-74.11159004147973,Br. Puerto Rico,1,
0,,072A12_TM,53403,4.566897856916436,-74.10274737955523,IED Enrique Olaya Herrera,1,
0,,073A12_TM,53404,4.4862246031414434,-74.10345199991895,Br. Puerta al Llano,1,
0,,074A12_TM,53405,4.486581078258865,-74.10527523213997,Br. Brisas del Llano,1,
0,,075A12_TM,53406,4.489596083277221,-74.1092031098113,Br. Puerta al Llano Rural,1,
